dataset_name,best_iteration_num_cells,accuracy,loss,best_model_paths
ACSF1,3,0.430000007,4.461920261,./models/finetune/finetuned_ALSTM_ACSF1_iteration3.keras
Adiac,5,0.782608688,1.193866968,./models/finetune/finetuned_ALSTM_Adiac_iteration5.keras
AllGestureWiimoteX,3,0.127142861,14.60674763,./models/finetune/finetuned_ALSTM_AllGestureWiimoteX_iteration3.keras
AllGestureWiimoteY,1,0.150000006,13.49385643,./models/finetune/finetuned_ALSTM_AllGestureWiimoteY_iteration1.keras
AllGestureWiimoteZ,1,0.331428558,4.389272213,./models/finetune/finetuned_ALSTM_AllGestureWiimoteZ_iteration1.keras
ArrowHead,4,0.828571439,1.381576777,./models/finetune/finetuned_ALSTM_ArrowHead_iteration4.keras
Beef,5,0.833333313,0.971553743,./models/finetune/finetuned_ALSTM_Beef_iteration5.keras
BeetleFly,1,0.850000024,0.81658268,./models/finetune/finetuned_ALSTM_BeetleFly_iteration1.keras
BirdChicken,1,0.75,1.318217039,./models/finetune/finetuned_ALSTM_BirdChicken_iteration1.keras
BME,1,0.926666677,0.368732214,./models/finetune/finetuned_ALSTM_BME_iteration1.keras
Car,5,0.883333325,1.080421567,./models/finetune/finetuned_ALSTM_Car_iteration5.keras
CBF,4,0.843333304,1.067534089,./models/finetune/finetuned_ALSTM_CBF_iteration4.keras
Chinatown,1,0.970845461,0.125123456,./models/finetune/finetuned_ALSTM_Chinatown_iteration1.keras
ChlorineConcentration,5,0.922395825,0.421190083,./models/finetune/finetuned_ALSTM_ChlorineConcentration_iteration5.keras
CinCECGTorso,4,0.857971013,0.693776608,./models/finetune/finetuned_ALSTM_CinCECGTorso_iteration4.keras
Coffee,3,1,0.013627195,./models/finetune/finetuned_ALSTM_Coffee_iteration3.keras
Computers,1,0.560000002,2.834446907,./models/finetune/finetuned_ALSTM_Computers_iteration1.keras
CricketX,2,0.571794868,2.730745792,./models/finetune/finetuned_ALSTM_CricketX_iteration2.keras
CricketY,5,0.566666663,2.555160522,./models/finetune/finetuned_ALSTM_CricketY_iteration5.keras
CricketZ,4,0.56410259,2.603790045,./models/finetune/finetuned_ALSTM_CricketZ_iteration4.keras
Crop,4,0.745535731,2.820218563,./models/finetune/finetuned_ALSTM_Crop_iteration4.keras
DiatomSizeReduction,3,0.967320263,0.63430512,./models/finetune/finetuned_ALSTM_DiatomSizeReduction_iteration3.keras
DistalPhalanxOutlineAgeGroup,3,0.719424486,2.716497421,./models/finetune/finetuned_ALSTM_DistalPhalanxOutlineAgeGroup_iteration3.keras
DistalPhalanxOutlineCorrect,3,0.746376812,2.14697957,./models/finetune/finetuned_ALSTM_DistalPhalanxOutlineCorrect_iteration3.keras
DistalPhalanxTW,5,0.618705034,3.151366472,./models/finetune/finetuned_ALSTM_DistalPhalanxTW_iteration5.keras
DodgerLoopDay,1,0.5625,2.035094738,./models/finetune/finetuned_ALSTM_DodgerLoopDay_iteration1.keras
DodgerLoopGame,1,0.891304374,0.562683344,./models/finetune/finetuned_ALSTM_DodgerLoopGame_iteration1.keras
DodgerLoopWeekend,1,0.98550725,0.121817067,./models/finetune/finetuned_ALSTM_DodgerLoopWeekend_iteration1.keras
Earthquakes,1,0.647482038,2.350059032,./models/finetune/finetuned_ALSTM_Earthquakes_iteration1.keras
ECG200,1,0.930000007,0.65539223,./models/finetune/finetuned_ALSTM_ECG200_iteration1.keras
ECG5000,2,0.932222247,0.641134501,./models/finetune/finetuned_ALSTM_ECG5000_iteration2.keras
