dataset_name,best_num_cells,accuracy,loss,best_model_paths
ACSF1,128,0.540000021,5.942523003,./models/ALSTM__ACSF1__128.keras
Adiac,64,0.734015346,1.13330698,./models/ALSTM__Adiac__64.keras
AllGestureWiimoteX,64,0.124285713,11.26038074,./models/ALSTM__AllGestureWiimoteX__64.keras
AllGestureWiimoteY,8,0.111428574,11.06475163,./models/ALSTM__AllGestureWiimoteY__8.keras
AllGestureWiimoteZ,64,0.330000013,4.160212994,./models/ALSTM__AllGestureWiimoteZ__64.keras
ArrowHead,64,0.839999974,1.061561346,./models/ALSTM__ArrowHead__64.keras
Beef,64,0.899999976,0.346494198,./models/ALSTM__Beef__64.keras
BeetleFly,8,0.850000024,0.625422776,./models/ALSTM__BeetleFly__8.keras
BirdChicken,128,0.699999988,0.77395016,./models/ALSTM__BirdChicken__128.keras
BME,128,0.899999976,0.376263678,./models/ALSTM__BME__128.keras
Car,64,0.899999976,0.882917404,./models/ALSTM__Car__64.keras
CBF,128,0.837777793,0.697758734,./models/ALSTM__CBF__128.keras
Chinatown,64,0.967930019,0.098257571,./models/ALSTM__Chinatown__64.keras
ChlorineConcentration,64,0.922135413,0.390506953,./models/ALSTM__ChlorineConcentration__64.keras
CinCECGTorso,128,0.855797112,0.512275934,./models/ALSTM__CinCECGTorso__128.keras
Coffee,128,1,0.012980146,./models/ALSTM__Coffee__128.keras
Computers,128,0.579999983,2.458075762,./models/ALSTM__Computers__128.keras
CricketX,64,0.582051277,2.360773802,./models/ALSTM__CricketX__64.keras
CricketY,128,0.558974385,2.170396805,./models/ALSTM__CricketY__128.keras
CricketZ,128,0.56410259,2.233965635,./models/ALSTM__CricketZ__128.keras
Crop,8,0.742797613,2.770137787,./models/ALSTM__Crop__8.keras
DiatomSizeReduction,64,0.967320263,0.387837768,./models/ALSTM__DiatomSizeReduction__64.keras
DistalPhalanxOutlineAgeGroup,8,0.66906476,1.831650853,./models/ALSTM__DistalPhalanxOutlineAgeGroup__8.keras
DistalPhalanxOutlineCorrect,64,0.731884062,2.251452923,./models/ALSTM__DistalPhalanxOutlineCorrect__64.keras
DistalPhalanxTW,64,0.575539589,2.810497761,./models/ALSTM__DistalPhalanxTW__64.keras
DodgerLoopDay,64,0.5,1.743115664,./models/ALSTM__DodgerLoopDay__64.keras
DodgerLoopGame,128,0.876811624,0.441506475,./models/ALSTM__DodgerLoopGame__128.keras
DodgerLoopWeekend,64,0.98550725,0.085854769,./models/ALSTM__DodgerLoopWeekend__64.keras
Earthquakes,8,0.633093536,1.514353752,./models/ALSTM__Earthquakes__8.keras
ECG200,8,0.930000007,0.468962401,./models/ALSTM__ECG200__8.keras
