dataset_name,best_num_cells,accuracy,loss,best_model_paths
ACSF1,128,0.4399999976158142,1.8434292078018188,./models/ALSTM__ACSF1__128.keras
Adiac,64,0.49872124195098877,1.8074718713760376,./models/ALSTM__Adiac__64.keras
AllGestureWiimoteX,64,0.1371428519487381,12.467982292175293,./models/ALSTM__AllGestureWiimoteX__64.keras
AllGestureWiimoteY,8,0.11999999731779099,8.460646629333496,./models/ALSTM__AllGestureWiimoteY__8.keras
AllGestureWiimoteZ,64,0.35285714268684387,4.355713367462158,./models/ALSTM__AllGestureWiimoteZ__64.keras
ArrowHead,64,0.6742857098579407,1.0343092679977417,./models/ALSTM__ArrowHead__64.keras
Beef,64,0.6666666865348816,0.6608625650405884,./models/ALSTM__Beef__64.keras
BeetleFly,8,0.8999999761581421,0.33338290452957153,./models/ALSTM__BeetleFly__8.keras
BirdChicken,128,0.699999988079071,0.6948379278182983,./models/ALSTM__BirdChicken__128.keras
BME,128,0.846666693687439,0.4589078724384308,./models/ALSTM__BME__128.keras
Car,64,0.800000011920929,0.7691664099693298,./models/ALSTM__Car__64.keras
CBF,128,0.8244444727897644,0.3957551121711731,./models/ALSTM__CBF__128.keras
Chinatown,64,0.8862974047660828,0.2666374146938324,./models/ALSTM__Chinatown__64.keras
ChlorineConcentration,64,0.8979166746139526,0.4023245871067047,./models/ALSTM__ChlorineConcentration__64.keras
CinCECGTorso,128,0.8536232113838196,0.482242614030838,./models/ALSTM__CinCECGTorso__128.keras
Coffee,128,1.0,0.15243859589099884,./models/ALSTM__Coffee__128.keras
Computers,128,0.5839999914169312,1.8810538053512573,./models/ALSTM__Computers__128.keras
CricketX,64,0.5051282048225403,2.186894416809082,./models/ALSTM__CricketX__64.keras
CricketY,128,0.5025641322135925,1.939136266708374,./models/ALSTM__CricketY__128.keras
CricketZ,128,0.5256410241127014,2.025019884109497,./models/ALSTM__CricketZ__128.keras
Crop,8,0.7434523701667786,1.834074854850769,./models/ALSTM__Crop__8.keras
DiatomSizeReduction,64,0.8856208920478821,0.44463756680488586,./models/ALSTM__DiatomSizeReduction__64.keras
DistalPhalanxOutlineAgeGroup,8,0.6618704795837402,2.0803704261779785,./models/ALSTM__DistalPhalanxOutlineAgeGroup__8.keras
DistalPhalanxOutlineCorrect,64,0.7427536249160767,1.5058503150939941,./models/ALSTM__DistalPhalanxOutlineCorrect__64.keras
DistalPhalanxTW,64,0.6474820375442505,2.566707134246826,./models/ALSTM__DistalPhalanxTW__64.keras
DodgerLoopDay,64,0.5625,1.4003986120224,./models/ALSTM__DodgerLoopDay__64.keras
DodgerLoopGame,128,0.8478260636329651,0.3836699426174164,./models/ALSTM__DodgerLoopGame__128.keras
DodgerLoopWeekend,64,0.9855072498321533,0.07840787619352341,./models/ALSTM__DodgerLoopWeekend__64.keras
Earthquakes,8,0.6474820375442505,1.154239296913147,./models/ALSTM__Earthquakes__8.keras
ECG200,8,0.8999999761581421,0.2910686135292053,./models/ALSTM__ECG200__8.keras
ECG5000,8,0.9295555353164673,0.41851678490638733,./models/ALSTM__ECG5000__8.keras
