dataset_name,best_iteration_num_cells,accuracy,loss,best_model_paths
ACSF1,4,0.370000004768371,3.44392681121826,./models/finetune/finetuned_LSTM_ACSF1_iteration4.keras
Adiac,5,0.7774935960769653,0.7759040594100952,./models/finetune/finetuned_LSTM_Adiac_iteration5.keras
AllGestureWiimoteX,1,0.13428571820259094,10.982271194458008,./models/finetune/finetuned_LSTM_AllGestureWiimoteX_iteration1.keras
AllGestureWiimoteY,3,0.12857143580913544,11.67361068725586,./models/finetune/finetuned_LSTM_AllGestureWiimoteY_iteration3.keras
AllGestureWiimoteZ,1,0.3514285683631897,2.9169678688049316,./models/finetune/finetuned_LSTM_AllGestureWiimoteZ_iteration1.keras
ArrowHead,5,0.7142857313156128,1.8918789625167847,./models/finetune/finetuned_LSTM_ArrowHead_iteration5.keras
Beef,5,0.8666666746139526,0.4947250187397003,./models/finetune/finetuned_LSTM_Beef_iteration5.keras
BeetleFly,1,0.8500000238418579,0.755508542060852,./models/finetune/finetuned_LSTM_BeetleFly_iteration1.keras
BirdChicken,3,0.75,1.101043701171875,./models/finetune/finetuned_LSTM_BirdChicken_iteration3.keras
BME,2,0.9133333563804626,0.6770384311676025,./models/finetune/finetuned_LSTM_BME_iteration2.keras
Car,4,0.8666666746139526,1.3840707540512085,./models/finetune/finetuned_LSTM_Car_iteration4.keras
CBF,1,0.8711110949516296,0.5401600003242493,./models/finetune/finetuned_LSTM_CBF_iteration1.keras
Chinatown,1,0.9650145769119263,0.10412625223398209,./models/finetune/finetuned_LSTM_Chinatown_iteration1.keras
ChlorineConcentration,5,0.9135416746139526,0.40558186173439026,./models/finetune/finetuned_LSTM_ChlorineConcentration_iteration5.keras
CinCECGTorso,1,0.8615942001342773,0.7471189498901367,./models/finetune/finetuned_LSTM_CinCECGTorso_iteration1.keras
Coffee,1,1.0,0.0035978087689727545,./models/finetune/finetuned_LSTM_Coffee_iteration1.keras
Computers,5,0.5559999942779541,3.5834598541259766,./models/finetune/finetuned_LSTM_Computers_iteration5.keras
CricketX,4,0.5589743852615356,2.461975574493408,./models/finetune/finetuned_LSTM_CricketX_iteration4.keras
CricketY,5,0.5512820482254028,2.4541566371917725,./models/finetune/finetuned_LSTM_CricketY_iteration5.keras
CricketZ,5,0.6000000238418579,2.4082083702087402,./models/finetune/finetuned_LSTM_CricketZ_iteration5.keras
Crop,5,0.7503571510314941,2.824827194213867,./models/finetune/finetuned_LSTM_Crop_iteration5.keras
DiatomSizeReduction,1,0.9640522599220276,0.6081761717796326,./models/finetune/finetuned_LSTM_DiatomSizeReduction_iteration1.keras
