dataset_name,best_num_cells,accuracy,loss,best_model_paths
ACSF1,64,0.5400000214576721,7.1019134521484375,./models/LSTM__ACSF1__64.keras
Adiac,128,0.5805626511573792,1.58613121509552,./models/LSTM__Adiac__128.keras
AllGestureWiimoteX,8,0.13857142627239227,12.544666290283203,./models/LSTM__AllGestureWiimoteX__8.keras
AllGestureWiimoteY,8,0.12285714596509933,10.732576370239258,./models/LSTM__AllGestureWiimoteY__8.keras
AllGestureWiimoteZ,8,0.3285714387893677,4.209859371185303,./models/LSTM__AllGestureWiimoteZ__8.keras
ArrowHead,128,0.800000011920929,1.3979500532150269,./models/LSTM__ArrowHead__128.keras
Beef,128,0.8999999761581421,0.4911864399909973,./models/LSTM__Beef__128.keras
BeetleFly,128,0.75,0.717966616153717,./models/LSTM__BeetleFly__128.keras
BirdChicken,8,0.75,0.8194912075996399,./models/LSTM__BirdChicken__8.keras
BME,64,0.8999999761581421,0.4444289207458496,./models/LSTM__BME__64.keras
Car,128,0.8999999761581421,0.885392427444458,./models/LSTM__Car__128.keras
CBF,128,0.8677777647972107,0.41437265276908875,./models/LSTM__CBF__128.keras
Chinatown,128,0.9620991349220276,0.085696741938591,./models/LSTM__Chinatown__128.keras
ChlorineConcentration,8,0.9135416746139526,0.44043657183647156,./models/LSTM__ChlorineConcentration__8.keras
CinCECGTorso,64,0.845652163028717,0.5867032408714294,./models/LSTM__CinCECGTorso__64.keras
Coffee,128,1.0,0.0023721507750451565,./models/LSTM__Coffee__128.keras
Computers,8,0.5040000081062317,2.544894218444824,./models/LSTM__Computers__8.keras
CricketX,8,0.5435897707939148,2.4532337188720703,./models/LSTM__CricketX__8.keras
CricketY,8,0.5512820482254028,2.1591830253601074,./models/LSTM__CricketY__8.keras
CricketZ,128,0.5615384578704834,2.287654399871826,./models/LSTM__CricketZ__128.keras
Crop,8,0.7468452453613281,2.797140598297119,./models/LSTM__Crop__8.keras
DiatomSizeReduction,8,0.970588207244873,0.42833101749420166,./models/LSTM__DiatomSizeReduction__8.keras
DistalPhalanxOutlineAgeGroup,128,0.6906474828720093,2.1909444332122803,./models/LSTM__DistalPhalanxOutlineAgeGroup__128.keras
DistalPhalanxOutlineCorrect,128,0.7246376872062683,2.4191808700561523,./models/LSTM__DistalPhalanxOutlineCorrect__128.keras
DistalPhalanxTW,8,0.5755395889282227,2.845989465713501,./models/LSTM__DistalPhalanxTW__8.keras
DodgerLoopDay,128,0.48750001192092896,1.4576361179351807,./models/LSTM__DodgerLoopDay__128.keras
DodgerLoopGame,8,0.8478260636329651,0.4850936532020569,./models/LSTM__DodgerLoopGame__8.keras
DodgerLoopWeekend,8,0.9855072498321533,0.1630822867155075,./models/LSTM__DodgerLoopWeekend__8.keras
Earthquakes,8,0.6762589812278748,1.7544575929641724,./models/LSTM__Earthquakes__8.keras
ECG200,8,0.9200000166893005,0.4310876429080963,./models/LSTM__ECG200__8.keras
ECG5000,8,0.9333333373069763,0.5040176510810852,./models/LSTM__ECG5000__8.keras
ECGFiveDays,128,0.9581881761550903,0.11464417725801468,./models/LSTM__ECGFiveDays__128.keras
ElectricDevices,64,0.5322266817092896,11.165568351745605,./models/LSTM__ElectricDevices__64.keras
EOGHorizontalSignal,8,0.4309392273426056,4.555329322814941,./models/LSTM__EOGHorizontalSignal__8.keras
EOGVerticalSignal,8,0.40883979201316833,5.5114617347717285,./models/LSTM__EOGVerticalSignal__8.keras
EthanolLevel,64,0.6940000057220459,2.335980176925659,./models/LSTM__EthanolLevel__64.keras
FaceAll,8,0.8710058927536011,0.5802476406097412,./models/LSTM__FaceAll__8.keras
FaceFour,8,0.8636363744735718,0.6541692614555359,./models/LSTM__FaceFour__8.keras
FacesUCR,64,0.7995122075080872,0.8362634181976318,./models/LSTM__FacesUCR__64.keras
FiftyWords,128,0.69010990858078,2.068220376968384,./models/LSTM__FiftyWords__128.keras
Fish,64,0.8971428275108337,0.47039929032325745,./models/LSTM__Fish__64.keras
FordA,128,0.803787887096405,1.273949146270752,./models/LSTM__FordA__128.keras
FordB,128,0.7061728239059448,3.265338897705078,./models/LSTM__FordB__128.keras
